sources
Domain;Feed;Title;Category;Status;Score;OG-Images;Content Type;Creative Instance ID;Destination Domains;
autoblog.com;https://www.autoblog.com/rss.xml;Autoblog;Cars;Enabled;10.10;;article;;www.autoblog.com;
jalopnik.com;https://jalopnik.com/rss;Jalopnik;Cars;Enabled;4.67;;article;;jalopnik.com;
caranddriver.com;https://www.caranddriver.com/rss/all.xml/;Car and Driver;Cars;Enabled;4.33;;article;;www.caranddriver.com;
edmunds.com;https://www.edmunds.com/feeds/rss/articles.xml;Edmunds;Cars;Disabled;4.23;;article;;www.edmunds.com;
motor1.com;https://www.motor1.com/rss/news/all/;Motor1;Cars;Disabled;3.43;;article;;www.motor1.com;
thetruthaboutcars.com;https://www.thetruthaboutcars.com/feed/;The Truth About Cars;Cars;Disabled;1.88;;article;;www.thetruthaboutcars.com;
electrek.co;https://electrek.co/feed/;Electrek;Cars;Disabled;0.98;;article;;electrek.co;
insideevs.com;https://insideevs.com/rss/articles/all/;InsideEVs;Cars;Disabled;1.00;;article;;insideevs.com;
carbuzz.com;https://carbuzz.com/rss/news;CarBuzz;Cars;Disabled;1.02;;article;;carbuzz.com;
autosport.com;https://www.autosport.com/rss/all/news/;Autosport;Cars;Disabled;0.50;;article;;www.autosport.com;
speedhunters.com;https://feeds.feedburner.com/Speedhunters;Speedhunters;Cars;Disabled;0.40;;article;;www.speedhunters.com;
carscoops.com;https://www.carscoops.com/category/news/feed/;Carscoops;Cars;Disabled;0.35;;article;;www.carscoops.com;
bikeexif.com;https://www.bikeexif.com/feed;Bike EXIF;Cars;Disabled;0.21;;article;;www.bikeexif.com;
thedrive.com;https://api.thedrive.com/feed/?post_type=the_drive_article;The Drive;Cars;Disabled;0.44;;article;;www.thedrive.com;
autocar.co.uk;https://www.autocar.co.uk/rss/latestnews;Autocar;Cars;Disabled;-0.18;;article;;www.autocar.co.uk;
bringatrailer.com;https://bringatrailer.com/feed/;Bring A Trailer;Cars;Disabled;-0.21;;article;;bringatrailer.com;
paultan.org;https://paultan.org/feed/;Paul Tan's Automotive News;Cars;Disabled;-0.40;;article;;paultan.org;
thecarconnection.com;https://feeds.feedburner.com/MotorAuthority2;The Car Connection;Cars;Disabled;-0.43;;article;;www.motorauthority.com;
motorcycle.com;https://feeds.feedburner.com/Motorcyclefeed;Motorcycle;Moto;Enabled;;;Article;;https://www.motorcycle.com;
motorcyclistonline.com;https://www.motorcyclistonline.com/arcio/rss;Motorcyclist;Moto;Enabled;;;Article;;https://www.motorcyclistonline.com/;
wikihow.com;https://www.wikihow.com/feed.rss;Wikihow;Culture;Enabled;11.09;On;article;;www.wikihow.com;
theatlantic.com;https://feeds.feedburner.com/TheAtlantic;The Atlantic;Culture;Enabled;7.11;;article;;www.theatlantic.com;
ted.com;https://feeds.feedburner.com/tedtalks_video;TED Talks;Culture;Enabled;6.61;On;article;;www.ted.com;
vox.com;https://www.vox.com/rss/index.xml;Vox;Culture;Enabled;6.21;;article;;www.vox.com;
slate.com;https://slate.com/feeds/all.rss;Slate;Culture;Enabled;5.56;;article;;slate.com;
vice.com;https://www.vice.com/en/rss?locale=en_us;VICE;Culture;Enabled;5.53;;article;;www.vice.com;
newyorker.com;https://www.newyorker.com/feed/everything;The New Yorker;Culture;Disabled;3.96;;article;;www.newyorker.com;
boingboing.net;https://boingboing.net/feed;Boing Boing;Culture;Disabled;2.27;;article;;boingboing.net;
brainpickings.org;https://feeds.feedburner.com/brainpickings/rss;Brain Pickings;Culture;Disabled;1.94;;article;;www.themarginalian.org;
vanityfair.com;https://www.vanityfair.com/feed/rss;Vanity Fair;Culture;Disabled;1.91;;article;;www.vanityfair.com;
